9.99998,2.30607e-05,-9.10591e-05
10.0614,0.0119801,0.370019
10.1267,0.0402338,0.704234
10.1577,0.0717713,1.02323
10.1575,0.0680059,1.37361
10.1563,0.0646234,1.79896
10.1573,0.0723166,2.11973
10.1592,0.0699793,2.42731
10.1603,0.0579013,2.75062
10.0757,0.0742638,-3.06334
10.0072,0.0553125,-2.65512
9.94146,-0.00608355,-2.29454
9.87983,-0.107181,-1.98417
9.80746,-0.438838,-1.68847
9.77078,-0.766786,-1.69632
9.71605,-1.08245,-1.8134
9.61179,-1.39171,-1.95673
9.47524,-1.70532,-1.98748
9.34783,-1.9932,-1.98746
9.21638,-2.29022,-1.9874
9.07829,-2.60229,-1.98736
8.9507,-2.88068,-1.98733
8.8194,-3.18747,-1.98729
8.69496,-3.46876,-1.98725
8.56726,-3.75748,-1.98722
8.44281,-4.03885,-1.98718
8.31089,-4.33662,-1.99404
8.18261,-4.60007,-2.01349
8.04016,-4.91057,-2.01345
7.89332,-5.22036,-2.0134
7.74724,-5.52858,-2.01335
7.61599,-5.80556,-2.0133
7.47724,-6.09842,-2.01326
7.3483,-6.37057,-2.01321
7.2094,-6.67507,-1.97951
7.09052,-6.96526,-1.93475
7.02331,-7.26525,-1.62643
7.01901,-7.59087,-1.57304
7.0183,-7.91159,-1.5731
7.01759,-8.22579,-1.57304
7.00078,-8.38628,-1.89539
6.84608,-8.65583,-2.17727
6.65608,-8.91983,-2.17313
6.48728,-9.16907,-2.2068
6.40942,-9.30561,-1.90177
6.4005,-9.33297,-2.21248
6.35372,-9.37081,-2.51813
6.2232,-9.47638,-2.20806
6.12926,-9.67031,-1.88648
6.05,-9.98304,-1.83737
5.95163,-10.2734,-1.91173
5.84335,-10.5776,-1.92147
5.71989,-10.8956,-1.9454
5.59961,-11.1835,-1.97912
5.47051,-11.4819,-1.97909
5.33433,-11.7967,-1.97904
5.20943,-12.0855,-1.97899
5.08343,-12.3769,-1.97893
4.94484,-12.6892,-1.99115
4.81602,-12.9674,-1.99111
4.68364,-13.2736,-1.99107
4.54399,-13.5862,-1.99102
4.41463,-13.8757,-1.99098
4.28238,-14.1718,-1.99099
